Hospital Name,State,City/Area,Address
Iduna Specialist Hospital,Lagos,Apapa,"1A Takoradi Road, Apapa"
St. Louis Hospital,Lagos,Apapa,"3 Ado Lane, Apapa"
Prince and Princess Hospital Apapa,Lagos,Ajegunle,"191 Ojo Road, Ligoli Bus Stop, Ajegunle, Apapa"
All Souls' Clinics Ltd,Lagos,Suru-Alaba,"255 Ojo Road, Suru-Alaba"
Jon Ken Hospital,Lagos,Akoka,"20 Shobande Street, Off Finbarr's College Road, Akoka"
Aniyun Hospital,Lagos,Gbagada,"Femi Aderibigbe Close, Off Diya Street, Ifako, Gbagada"
R-Jolad Hospital,Lagos,Gbagada,"1 Akindele Street, Gbagada"
Gbagada General Hospital,Lagos,Gbagada,"Hospital Road, By Deeper Life Church, Ifako, Gbagada"
Afrimed Specialist Hospital,Lagos,Gbagada,"1B Williams Street, Sawmill, Gbagada"
Cottage Hospital,Lagos,Yaba,"18 Iwaya Road, Onike, Yaba"
Doyen Medical Services,Lagos,Yaba,"Dapo Bode Thomas, Araoti Street, Yaba"
Golden Cross Infirmary,Lagos,Festac,"22nd Road, Festac Town"
Emel Hospital,Lagos,Festac,"21 Road, Z Close, Festac Town"
Godfrey Hospital,Lagos,Amuwo Odofin,"Plot 3554, Kofo Kasumu Avenue, First Estate, Lakeview Phase, Amuwo Odofin"
Amuwo Medical Centre,Lagos,Amuwo Odofin,"Plot 343, House 19, Durbar Road, Mile 2, Amuwo Odofin"
Joedan Hospital Limited,Lagos,Lagos,"3 Lagos-Badagry Expressway, Lagos"
St. Jude's Hospital,Lagos,Festac,"21 Road, B Close House 6, Festac Town"
Shepherd Specialist Hospital,Lagos,Festac,"4th Avenue, E Close, Plot 1619, Festac Town"
Rhowil Total Care Medical,Lagos,Satellite Town,"Plot 8, Block 7, Site G Estate, Satellite Town"
Outreach Children's Hospital Satellite Town,Lagos,Satellite Town,"23 Community Road, Satellite Town"
Outreach Hospital Festac,Lagos,Festac,"4th Avenue by 3rd Avenue Bus Stop, Festac"
Nigerian Naval Reference Hospital,Lagos,Ojo,"Navy Town, Ojo"
Osuntuyi Medical Centre Iju,Lagos,Iju/Ishaga,"255 Iju Road, Balogun Bus Stop, Iju"
